x,y
596998,6254939
595225,6254227
597394,6253983
596760,6253840
596063,6254106
595860,6252115
594514,6251737
591948,6260111
592431,6260387
591852,6260585
595323,6257479
595545,6257809
596627,6254178
599756,6260878
599710,6260885
599564,6260971
599769,6260806
599728,6260825
599626,6260986
599640,6260919
599055,6260811
599014,6260832
599429,6260759
599347,6260857
599437,6260840
598312,6260746
596569,6260987
592174,6260869
592184,6260898
592084,6260987
591934,6260793
592036,6260970
592078,6260948
592043,6260886
591651,6260771
592003,6260977
592068,6260915
597840,6260103
597949,6260441
597257,6260611
598001,6260400
598038,6260476
598026,6260322
597835,6260434
598094,6260456
597787,6260134
597416,6260608
596824,6260361
596754,6260318
596802,6260330
596795,6260255
596724,6260361
594776,6260070
594544,6260044
594689,6260044
594664,6260111
594533,6260115
594551,6260076
594541,6260063
595001,6259899
594656,6259956
594706,6260109
594508,6260107
594484,6260113
594435,6260169
594472,6260288
594483,6260160
592192,6260117
592292,6260206
592268,6260201
591994,6260457
591915,6260604
591827,6260719
591693,6260706
591764,6260725
591670,6260711
591538,6260691
591814,6260529
591966,6260479
591954,6260424
591969,6260171
591793,6260727
592031,6260437
591658,6260685
599256,6259319
599290,6259446
599285,6259411
599310,6259472
599318,6259384
599236,6259396
599756,6259055
598934,6259097
599086,6259104
599200,6259438
599339,6259445
599242,6259295
598678,6259158
598683,6259143
598695,6259060
598806,6259170
598712,6259124
599192,6259262
599252,6259165
599408,6259569
599330,6259407
598745,6259239
598978,6259060
599115,6259245
599107,6259224
598779,6259087
598858,6259191
598839,6259206
598916,6259107
599069,6259055
599232,6259180
598217,6259395
598186,6259419
598322,6259311
599326,6259143
598585,6259227
598074,6259476
598107,6259481
598467,6259308
594672,6259859
594643,6259867
595375,6259730
596842,6259160
594676,6259236
594701,6259191
594656,6259263
594596,6259395
594679,6259369
594745,6259247
594781,6259183
594478,6259886
593467,6259876
592712,6259727
592421,6259824
592657,6259765
592041,6259871
592173,6259773
600226,6258271
600262,6258290
598769,6258960
598809,6258927
598645,6258985
598735,6259010
598780,6258943
599010,6258974
600179,6258333
598524,6258549
598187,6259004
598840,6258907
598709,6258979
596939,6258575
596970,6258551
597212,6259018
597197,6259040
596926,6258566
596229,6258246
598443,6257912
598316,6257900
598279,6257833
598359,6257831
598356,6257888
598386,6257870
598387,6257829
598336,6257946
596163,6258202
596200,6258241
597301,6257766
597400,6257764
598385,6257952
597806,6257498
595960,6257643
595931,6257615
595903,6257618
595862,6257502
595370,6257785
595401,6257712
595954,6257697
595877,6257595
595841,6257605
595853,6257627
595549,6257487
595830,6257588
595977,6257596
595339,6257811
595918,6257685
595958,6257671
596029,6257605
595872,6257644
595863,6257569
595919,6257453
595916,6257560
595894,6257664
595239,6257756
594275,6257553
598132,6256808
600340,6257028
596498,6256857
597327,6257269
597517,6256633
597484,6256663
597199,6256674
596237,6256669
596425,6256809
596357,6256745
596699,6256746
596698,6257115
596640,6256785
596470,6256645
596546,6256784
596653,6256803
596337,6256626
596066,6257171
595961,6257057
595522,6256915
595540,6256900
595969,6257325
595542,6257055
595969,6257148
595819,6256689
595576,6257047
594950,6256836
591441,6256766
591293,6256678
591367,6256738
591124,6256802
591098,6256737
598562,6256051
598696,6256066
596298,6256583
596828,6256175
598143,6256552
598253,6255796
596634,6256258
596244,6256297
596612,6256223
596399,6256451
596679,6256158
596637,6256094
596591,6256086
596565,6256043
596639,6256223
596800,6256081
596687,6256211
596650,6256159
596695,6256180
596340,6256180
596474,6256377
596403,6256147
596376,6256218
596592,6256197
596605,6256121
596508,6256343
596442,6256330
596541,6256101
596606,6256179
596314,6256399
596321,6256162
596455,6256292
596461,6256519
596881,6256153
596577,6256060
596461,6256212
596532,6256073
596237,6256205
596783,6256145
596778,6256072
596778,6256122
596521,6256054
596571,6256146
596344,6256198
596563,6256095
596211,6256147
596368,6256163
596671,6256188
596482,6256442
596349,6256459
596293,6255940
596615,6256060
596225,6256011
595828,6256401
595372,6256433
595648,6256246
595653,6256034
595580,6256193
595336,6256172
595767,6256483
595620,6256481
595895,6256032
595844,6256392
595857,6256376
595974,6256179
595352,6256139
595373,6256071
595647,6256479
595984,6256311
596072,6256520
595675,6256001
595827,6256450
595780,6255939
595697,6255968
596069,6256269
595314,6256114
595484,6256564
595718,6256314
595805,6256317
595808,6256293
595965,6256224
595300,6256227
594726,6256448
595299,6256139
595253,6256235
595305,6256393
595281,6256260
595268,6256213
592721,6256522
592651,6255906
592690,6255892
592550,6255895
592052,6256437
592252,6256233
592473,6256073
592224,6256251
592731,6256494
592572,6255871
592306,6256255
592084,6256403
592340,6256243
592142,6256343
592750,6256528
591677,6256583
591639,6256613
600438,6255139
598337,6255059
596301,6255771
596742,6255616
596746,6255445
596670,6255534
596720,6255507
596523,6255645
596720,6255633
596560,6255594
596687,6255515
595416,6255173
595816,6255612
594021,6255238
593394,6255347
593393,6255306
593134,6255340
593189,6255104
592857,6255332
593228,6255716
593305,6255649
593543,6255550
593633,6255384
593092,6255610
593190,6255290
593322,6255382
593602,6255484
593428,6255338
593237,6255740
593365,6255210
593409,6255201
593326,6255367
593213,6255766
593422,6255353
592810,6255346
592804,6255594
593059,6255018
593445,6255131
592807,6255640
592790,6255343
592638,6255624
592773,6255406
592736,6255380
591010,6255275
600342,6254171
600375,6254181
598356,6254186
598317,6254188
598133,6254486
598524,6254605
598291,6254150
598326,6254212
597593,6254833
596966,6254931
597630,6254806
596972,6254200
596222,6254606
596459,6254339
596357,6254269
596452,6254234
596771,6254165
596725,6254174
596753,6254155
596264,6254577
596687,6254581
596232,6254660
596283,6254627
596326,6254271
593426,6254683
596706,6254176
596663,6254175
596025,6254158
596471,6254232
593822,6254869
593805,6254829
593745,6254772
593450,6254676
593405,6254756
593164,6254295
593342,6254993
591572,6254274
592565,6254316
592477,6254283
592555,6254291
600814,6253637
599628,6253377
599633,6253392
600563,6253915
600873,6253635
600792,6253606
600813,6253614
600813,6253653
600218,6253354
600225,6253334
600989,6253362
600582,6253905
597823,6253543
598083,6253419
597789,6253669
597919,6253547
598242,6254088
598305,6254075
598320,6254130
599170,6254031
599152,6253968
599283,6253715
599285,6253685
599152,6253988
600175,6253368
599642,6253440
600082,6253306
597509,6253901
597309,6253489
597495,6253875
597200,6254117
597300,6253518
597342,6253490
597696,6253692
597017,6253681
597121,6253635
597845,6253505
597777,6253648
597892,6253573
597945,6253525
596721,6253811
596767,6253929
596773,6254072
596876,6253922
596806,6254056
596786,6254151
596850,6254029
597508,6253927
597728,6253714
597356,6253525
597389,6253469
597045,6253712
597376,6253468
597174,6254134
597076,6253699
596501,6253466
596724,6254068
596524,6253447
596738,6253807
596700,6253878
596120,6254085
596707,6254134
596776,6253961
596772,6254006
596728,6254012
596511,6253425
596690,6253834
596739,6253876
595611,6253393
595591,6253378
595636,6253414
595461,6253540
596068,6254068
595486,6253499
596092,6254089
596036,6254154
596039,6254035
596028,6254103
596889,6253964
596837,6253987
594579,6253569
594764,6253866
594988,6253463
595011,6253388
594562,6253551
595029,6253382
595048,6253392
595198,6253907
595009,6253370
595029,6253361
595005,6253448
594744,6253849
595158,6253870
594917,6254142
592678,6254178
592361,6253799
592671,6253904
592361,6253830
592699,6253898
593017,6253567
593007,6253544
593691,6253841
593805,6253792
593794,6253824
594268,6253612
594317,6253614
600826,6252896
600629,6252981
600774,6252835
600652,6252901
600800,6252891
600289,6252899
600996,6252761
600885,6252716
600329,6252937
600320,6252868
600727,6252941
600809,6252911
600819,6252868
600987,6252753
600753,6252796
600689,6253243
600764,6252586
600777,6252491
600951,6252666
597937,6253153
598380,6253182
598340,6253202
598108,6252586
597954,6253131
596243,6252828
598352,6253172
599017,6252886
599066,6252917
599133,6253059
599184,6252950
600122,6253297
599503,6252551
599541,6252569
600185,6253087
600947,6252563
595461,6252713
595322,6252937
595444,6252759
595947,6253287
596272,6252836
596985,6252870
596951,6253086
597390,6252628
597369,6252620
596937,6253063
598469,6252922
598462,6252927
598064,6252579
594669,6253104
595249,6252974
595092,6253345
595827,6252762
595400,6252785
595904,6252750
595335,6252919
595389,6252800
595833,6253066
595875,6252769
595910,6253295
595480,6252574
592945,6253090
592974,6253135
594086,6252818
593943,6252780
594093,6252797
594063,6252805
593899,6252772
593735,6253247
593771,6253224
595282,6252957
594780,6252551
595200,6252984
594707,6253060
595144,6252996
591300,6253205
591263,6253271
592062,6252625
592090,6252576
592705,6252715
592795,6252728
592447,6252997
592053,6252593
592955,6253132
593386,6253110
592913,6253089
592924,6253135
592941,6253139
592971,6253072
592959,6253035
591024,6252570
591107,6252927
591112,6252863
591706,6252981
591242,6253262
591279,6253248
591246,6253239
600551,6252337
600503,6252133
600644,6252174
600841,6252464
598868,6252236
598707,6251780
598831,6252222
598661,6251774
598850,6252263
599922,6251694
599987,6251697
599886,6251705
599838,6252423
599844,6252457
599877,6251745
600692,6252128
600503,6252297
600528,6252345
600691,6252111
600649,6252201
600741,6252176
596901,6252042
596569,6252157
596592,6252130
596174,6252064
596597,6252155
596455,6252518
596485,6252424
596649,6252116
596644,6252138
596468,6252468
596889,6252029
597809,6251910
597825,6251967
597776,6251922
595836,6252057
596052,6251799
596069,6251796
595584,6252193
595517,6251979
595465,6251961
595603,6252211
595590,6251968
595656,6252011
595894,6252084
595384,6252512
595656,6252515
595251,6252087
595047,6252191
595083,6252197
595851,6252141
595872,6252202
