x,y
396399,6899534
396039,6899738
393279,6899212
393501,6897809
393026,6898382
392006,6898303
395271,6897578
390484,6897213
390328,6896966
390210,6897727
388791,6897179
397910,6896582
388858,6895685
396371,6894756
395958,6894538
396333,6894747
395013,6895008
395841,6894718
397258,6893249
397097,6893355
396945,6893071
393688,6893611
392217,6893514
397382,6892362
393800,6892636
392606,6892328
391492,6892470
391680,6891295
394565,6890576
391444,6890955
391559,6891149
391454,6890945
396530,6893048
396736,6893512
389077,6897267
390147,6898132
394918,6897172
390303,6897525
397782,6899459
397073,6899495
397421,6899829
397399,6899772
397425,6899800
397396,6899807
397813,6899476
397735,6899378
397728,6899489
397712,6899377
397770,6899480
397793,6899507
396616,6899352
396945,6899943
397016,6899977
396805,6899943
396931,6899846
396870,6899916
396942,6899856
396971,6899924
396266,6899588
396334,6899642
396319,6899637
396345,6899625
396270,6899567
396229,6899956
396273,6899652
396348,6899578
396493,6899521
396388,6899500
396208,6899751
396184,6899688
396240,6899963
396299,6899630
396252,6899617
396329,6899603
396309,6899593
396320,6899581
396335,6899684
396266,6899603
396237,6899982
396244,6899689
396348,6899652
396047,6899842
396076,6899433
396055,6899754
396135,6899954
396195,6899617
396014,6899654
396070,6899765
396187,6899797
396093,6899366
396017,6899798
396086,6899781
396113,6899785
396006,6899960
396087,6899900
396147,6899341
395998,6899742
396028,6899935
395994,6899761
396214,6899930
396053,6899981
396153,6899817
396117,6899766
396187,6899877
396125,6899974
396041,6899557
396102,6899841
396031,6899771
396048,6899781
396009,6899481
396039,6899805
396021,6899723
396019,6899753
396052,6899942
396181,6899959
396076,6899397
396012,6899768
395986,6899483
396123,6899823
396056,6899360
396027,6899695
396061,6899678
396075,6899958
396187,6899990
396016,6899880
396010,6899679
396060,6899811
396062,6899554
396200,6899908
395987,6899828
396178,6899770
396099,6899406
396032,6899868
396097,6899797
396203,6899640
396157,6899790
396130,6899811
396007,6899711
395979,6899520
396168,6899979
396006,6899510
396054,6899924
396117,6899335
395968,6899942
395970,6899869
395879,6899984
395972,6899843
395932,6899994
396038,6899920
396222,6899778
395989,6899802
396046,6899700
396049,6899664
395965,6899671
395839,6899810
395885,6899935
395864,6899881
395895,6899959
395974,6899647
395624,6899422
395615,6899887
395711,6899903
395629,6899451
395624,6899984
395740,6899897
395690,6899911
395862,6899945
395856,6899895
395994,6899899
395950,6899930
395952,6899651
395718,6899945
395673,6899651
395668,6899872
395637,6899921
395665,6899917
395751,6899932
395609,6899457
395600,6899421
395635,6899549
395595,6899473
395768,6899637
395779,6899921
395692,6899625
395606,6899529
395420,6899928
395507,6899426
395518,6899958
395510,6899924
395650,6899979
395613,6899552
395622,6899972
395598,6899460
395757,6899861
395631,6899952
395583,6899878
395698,6899959
395621,6899484
395644,6899873
395397,6899796
395402,6899931
395401,6899768
395421,6899913
395555,6899875
395463,6899927
395493,6899930
394550,6899519
394573,6899506
394536,6899464
394624,6899424
394739,6899672
394621,6899443
394636,6899744
394617,6899466
394621,6899770
394894,6899358
395095,6899372
395087,6899358
395054,6899368
392723,6899426
393253,6899829
393232,6899402
393249,6899813
393234,6899867
393234,6899834
393554,6899649
393556,6899662
394575,6899394
394538,6899437
394558,6899431
394596,6899732
392556,6899995
392740,6899488
392787,6899385
392750,6899457
392493,6899976
392498,6899905
392102,6899922
392118,6899469
392094,6899881
392134,6899498
392157,6899501
392184,6899991
392172,6899488
392513,6899988
392530,6899883
392495,6899879
391368,6899468
392106,6899890
392117,6899906
392079,6899853
391293,6899498
391348,6899445
391323,6899472
390501,6899785
390510,6899664
390560,6899795
390517,6899764
390749,6899722
390813,6899710
390772,6899747
390779,6899690
390836,6899699
390702,6899727
390422,6899694
390414,6899515
390432,6899553
390422,6899602
390403,6899572
390438,6899915
390487,6899749
390481,6899786
390546,6899762
390549,6899725
390034,6899545
390068,6899536
390078,6899598
389846,6899439
390031,6899530
389841,6899543
389946,6899936
389882,6899470
389951,6899889
390045,6899582
390406,6899538
390446,6899828
390394,6899556
388730,6899574
389195,6899454
389815,6899534
389805,6899571
389827,6899506
389863,6899527
390035,6899871
389979,6899902
389869,6899486
388226,6899638
388258,6899698
388296,6899679
388241,6899707
388280,6899759
388413,6899637
388428,6899721
388386,6899641
397934,6899289
397980,6898610
397175,6899272
397145,6899283
397416,6898578
397200,6898814
397466,6898596
397553,6899253
397726,6898522
397699,6898558
397736,6898508
397684,6898501
397970,6899268
397937,6898612
397960,6898602
397897,6899307
396922,6898681
397006,6898644
396985,6898672
396896,6899061
396955,6898614
396925,6898732
396909,6898611
396905,6898618
396980,6898591
396977,6898643
396959,6898574
397176,6898816
396941,6898650
397167,6899294
397044,6898608
396476,6898970
396436,6898977
396494,6899066
396492,6899049
396498,6899299
396515,6899136
396509,6899042
396566,6899138
396567,6899219
396452,6898957
396564,6899043
396502,6898961
396629,6899032
396632,6899114
396648,6899044
396649,6899082
396971,6898628
396344,6899115
396310,6899133
396359,6899130
396364,6898570
396380,6899128
396476,6899066
396572,6899192
396602,6899176
396456,6898984
396533,6899094
396544,6899042
396447,6898663
396601,6899103
396536,6899078
396548,6899116
396522,6899270
396410,6898624
396587,6899064
395849,6898798
395843,6898769
395943,6899281
395812,6898838
395874,6898859
395826,6898608
395812,6898613
395835,6898847
395838,6898711
396028,6899316
396055,6899322
396097,6899328
396354,6898588
396373,6899106
396311,6899105
395190,6898527
395200,6898970
395175,6898981
395549,6898996
395568,6899022
395772,6898755
395764,6898811
395580,6899074
395769,6898523
395611,6898999
395675,6898529
395784,6898802
395753,6898580
395575,6899045
395810,6898875
395943,6899265
395961,6899297
395025,6899098
395085,6899050
395001,6899096
395107,6899035
395003,6899127
395128,6899079
395051,6899274
395034,6899280
395127,6899175
395130,6899299
395322,6899176
